,Unnamed: 0,domain,scanned url,total,positives,duration[VT],rlength,resolution,server,URL after redirects,Final URL,suspicious_tld,length,fake_tld,brand,pop_keywords,similar,is_idn,minus,num_subdomains,unshorten url
119,13542,everybodygoesblog.com,http://www.everybodygoesblog.com/2020/08/review-sputnik-science-fiction-horror.html,83,1,0,128843,172.217.214.121,GSE,None,http://www.everybodygoesblog.com/2020/08/review-sputnik-science-fiction-horror.html,N,83,0,0,0,0,N,4,2,http://www.everybodygoesblog.com/2020/08/review-sputnik-science-fiction-horror.html
120,13583,medcom.id,https://medcom.id/s/MkMG2jEN,83,1,0,84895,103.225.66.74,nginx,https://www.medcom.id/internasional/eropa-amerika/MkMG2jEN-uji-klinis-fase-3-sputnik-v-dimulai-pekan-depan,https://www.medcom.id/internasional/eropa-amerika/MkMG2jEN-uji-klinis-fase-3-sputnik-v-dimulai-pekan-depan,N,106,0,0,0,0,N,10,1,https://www.medcom.id/internasional/eropa-amerika/MkMG2jEN-uji-klinis-fase-3-sputnik-v-dimulai-pekan-depan
121,64,cutt.ly,https://cutt.ly/4fzBosk,83,1,0,205455,104.22.1.232,Sucuri/Cloudproxy,https://gmnoticias.mx/segundo-voluntario-de-vacuna-de-astrazeneca-presenta-reaccion-adversa/,https://gmnoticias.mx/segundo-voluntario-de-vacuna-de-astrazeneca-presenta-reaccion-adversa/,N,92,0,0,0,0,N,8,0,https://gmnoticias.mx/segundo-voluntario-de-vacuna-de-astrazeneca-presenta-reaccion-adversa/
122,75,lnkd.in,https://lnkd.in/ebK-ScW%20https:/lnkd.in/eSxeNiA,83,1,98,38385,108.174.10.10,,https://www.linkedin.com/feed/update/urn:li:share:6706688437933658112,https://www.linkedin.com/feed/update/urn:li:share:6706688437933658112,N,69,0,0,0,1,N,0,1,https://www.linkedin.com/feed/update/urn:li:share:6706688437933658112
123,95,ow.ly,http://ow.ly/qWYO30r7DIV,83,1,0,196,54.67.120.65,Apache,https://www.informaoriente.com.mx/salud/comienzan-pruebas-masivas-de-la-vacuna-de-oxford-y-astrazeneca.html,https://www.informaoriente.com.mx/salud/comienzan-pruebas-masivas-de-la-vacuna-de-oxford-y-astrazeneca.html,N,107,0,0,0,0,N,9,3,https://www.informaoriente.com.mx/salud/comienzan-pruebas-masivas-de-la-vacuna-de-oxford-y-astrazeneca.html
124,128,gofirstnews.com,https://gofirstnews.com/astrazeneca-begins-coronavirus-vaccine-section-three-medical-trials-in-us/,83,6,0,2836,45.87.81.46,LiteSpeed,None,https://gofirstnews.com/astrazeneca-begins-coronavirus-vaccine-section-three-medical-trials-in-us/,N,98,0,0,0,0,N,9,0,https://gofirstnews.com/astrazeneca-begins-coronavirus-vaccine-section-three-medical-trials-in-us/
125,138,bit.ly,https://bit.ly/2GcaKKm,83,1,0,,67.199.248.10,,None,https://bit.ly/2GcaKKm,N,22,0,0,0,0,N,0,0,http://masnoticiasoaxaca.com/alista-astrazeneca-ensayos-masivos-de-su-vacuna-contra-el-covid-19/
126,152,mailchi.mp,https://mailchi.mp/3fa3cde81895/dialoguemos-12697970,83,1,0,109738,72.246.201.73,openresty,None,https://mailchi.mp/3fa3cde81895/dialoguemos-12697970,N,52,0,0,0,0,N,1,0,https://mailchi.mp/3fa3cde81895/dialoguemos-12697970
127,182,webwire.com,https://www.webwire.com/ViewPressRel.asp?aId=263488&utm_source=dlvr.it&utm_medium=twitter,83,1,0,20256,169.53.35.70,Microsoft-IIS/8.5,None,https://www.webwire.com/ViewPressRel.asp?aId=263488&utm_source=dlvr.it&utm_medium=twitter,N,89,0,0,0,0,N,0,3,https://www.webwire.com/ViewPressRel.asp?aId=263488&utm_source=dlvr.it&utm_medium=twitter
128,205,biotoday.com,https://www.biotoday.com/view.cfm?n=92482&ref=rss&utm_source=dlvr.it&utm_medium=twitter,83,1,0,28006,112.140.51.34,Apache/2.2.31 (Unix) mod_ssl/2.2.31 OpenSSL/1.0.1e-fips PHP/5.6.22 mod_jk/1.2.40,None,https://www.biotoday.com/view.cfm?n=92482&ref=rss&utm_source=dlvr.it&utm_medium=twitter,N,87,0,0,0,0,N,0,3,https://www.biotoday.com/view.cfm?n=92482&ref=rss&utm_source=dlvr.it&utm_medium=twitter
