resolved_domain,text,created_at,author_id,twtid
gesichtzeigen.digital,2,2,2,2
burgerfront.nl,2,2,2,2
friatider.se,2,2,1,2
kamogawakosuke.info,2,2,2,2
freemalaysiatoday.com,2,2,2,2
tocana.jp,2,2,2,2
canadianphysicians.org,2,2,2,2
toknow.uk,2,2,2,2
fox61.com,2,2,2,2
fox32chicago.com,2,2,1,2
torontosun.com,2,2,2,2
weliveinamadworld.com,2,2,1,2
vaccineinjury.uk,2,2,2,2
commonwealthfund.org,2,2,2,2
vaccine101.ca,2,2,2,2
controlgroup.science,2,2,1,2
corriere.it,2,2,2,2
coronaloji.com,2,2,1,2
vaxed.net,2,2,2,2
vartoslo.no,2,2,1,2
criticanacional.com.br,2,2,2,2
vaers.us,2,2,2,2
redpillmedia.fi,2,2,1,2
paramountcommunication.com,2,2,2,2
vaccine.fyi,2,2,2,2
ukmedfreedom.org,2,2,2,2
cirp.org,2,2,2,2
ouest-france.fr,2,2,2,2
demokratischerwiderstand.de,2,2,2,2
uimedianetwork.org,2,2,1,2
phys.org,2,2,1,2
voicesforvaccines.org,2,2,1,2
dorzeczy.pl,2,2,2,2
rebelnews.com,2,2,2,2
cms.gov,2,2,1,2
dinf.net,2,2,1,2
digi.no,2,2,2,2
page.link,2,2,2,2
pgibertie.com,2,2,1,2
pap.pl,2,2,2,2
colorado.gov,2,2,2,2
practicalintuition.co,2,2,2,2
babylonbee.com,2,2,1,2
thecollegefix.com,2,2,2,2
azonlinecoupons.com,2,2,2,2
ijidonline.com,2,2,1,2
theblaze.com,2,2,2,2
rlowery.org,2,2,1,2
prabhatkhabar.com,2,2,2,2
notificaram.es,2,2,2,2
independent.co.uk,2,2,2,2
novax.org,2,2,2,2
house.gov,2,2,1,2
powerbi.com,2,2,2,2
wired.co.uk,2,2,2,2
behance.net,2,2,1,2
baumhedlundlaw.com,2,2,2,2
thedaysoftheyear.com,2,2,2,2
indiaeducationdiary.in,2,2,2,2
t-a.no,2,2,1,2
ar25.org,2,2,2,2
primarydoctor.org,2,2,1,2
aosfatos.org,2,2,2,2
juntendo.ac.jp,2,2,2,2
anthonycolpo.com,2,2,2,2
antena0109.com,2,2,2,2
nos.nl,2,2,2,2
tga.gov,2,2,2,2
asiyanetki.com,2,2,1,2
ins.gov.co,2,2,1,2
ivermectine-covid.ch,2,2,2,2
arte.tv,2,2,2,2
gov.co.uk,2,2,2,2
whois.com,2,2,2,2
whitehouse.gov,2,2,2,2
greekreporter.com,2,2,2,2
granitegrok.com,2,2,1,2
nzdsos.com,2,2,2,2
o-kinaki.org,2,2,2,2
google.co.nz,2,2,1,2
goodrx.com,2,2,1,2
boston.com,2,2,2,2
goachronicle.com,2,2,2,2
whiskeytangotexas.com,2,2,2,2
raskrinkavanje.ba,2,2,1,2
rimed.org,2,2,1,2
nu.nl,2,2,2,2
hempyhope.com,2,2,1,2
highwire.com,2,2,2,2
high.as,2,2,2,2
revivaltoday.tv,1,1,1,1
richieallen.co.uk,1,1,1,1
ru-an.info,1,1,1,1
questioned.in,1,1,1,1
rtl.lu,1,1,1,1
rtbf.be,1,1,1,1
rougereview.net,1,1,1,1
redstate.com,1,1,1,1
rand.org,1,1,1,1
respekt.plus,1,1,1,1
renascenthealthnow.com,1,1,1,1
rollingstone.com,1,1,1,1
reactions.is,1,1,1,1
randi.org,1,1,1,1
recallgavin2020.com,1,1,1,1
recombinomics.co,1,1,1,1
rightofchoice.org,1,1,1,1
report3-19-21-4-05-21.pn,1,1,1,1
reclaimthenet.org,1,1,1,1
republicain-lorrain.fr,1,1,1,1
ratical.org,1,1,1,1
redactie24.be,1,1,1,1
safeguardyoursoul.com,1,1,1,1
repustar.com,1,1,1,1
realconservativesunite.com,1,1,1,1
rd.nl,1,1,1,1
racgp.org.au,1,1,1,1
queensu.ca,1,1,1,1
rationalnuggets.com,1,1,1,1
riffreporter.de,1,1,1,1
revespcardiol.org,1,1,1,1
rki.de,1,1,1,1
sakura.ne.jp,1,1,1,1
rb.gy,1,1,1,1
rijksoverheid.nl,1,1,1,1
report.link,1,1,1,1
sakshi.com,1,1,1,1
redcrossblood.org,1,1,1,1
saglik.gov.tr,1,1,1,1
rp.pl,1,1,1,1
sapmed.ac.jp,1,1,1,1
vaxperiment.com,1,1,1,1
vaxpai.us,1,1,1,1
vaxcalc.org,1,1,1,1
vax.fox,1,1,1,1
varmatin.com,1,1,1,1
vaers.to,1,1,1,1
vaers.co.uk,1,1,1,1
vaers.as,1,1,1,1
vactruth.com,1,1,1,1
vaccinesafety.edu,1,1,1,1
volkskrant.nl,1,1,1,1
vistinomer.mk,1,1,1,1
viriginastoner.com,1,1,1,1
villagevoice.com,1,1,1,1
vidmax.com,1,1,1,1
videos.it,1,1,1,1
vicp.gov,1,1,1,1
vertetmates.mk,1,1,1,1
verifythis.com,1,1,1,1
verificat.cat,1,1,1,1
verafiles.org,1,1,1,1
vaccinelawyer.org,1,1,1,1
vaccinelaw.com,1,1,1,1
univision.com,1,1,1,1
unian.info,1,1,1,1
uni.vi,1,1,1,1
understandinganimalresearch.org.uk,1,1,1,1
uk.na,1,1,1,1
uib.no,1,1,1,1
ucsfhealth.org,1,1,1,1
u.report,1,1,1,1
twishort.com,1,1,1,1
tvn24.pl,1,1,1,1
unser-mitteleuropa.com,1,1,1,1
unz.com,1,1,1,1
uproxx.com,1,1,1,1
v.safe,1,1,1,1
vaccinechoicecanada.com,1,1,1,1
vaccination-info.eu,1,1,1,1
vac4eu.org,1,1,1,1
uw.edu,1,1,1,1
usareally.com,1,1,1,1
usa.il,1,1,1,1
usa-vaers.com,1,1,1,1
vogon.today,1,1,1,1
vrevealed.com,1,1,1,1
savetweetvideo.link,1,1,1,1
xn--bal-isa5g.ve,1,1,1,1
www.gov.pl,1,1,1,1
wsmv.com,1,1,1,1
wpxi.com,1,1,1,1
worthylinks.com,1,1,1,1
worthy.watch,1,1,1,1
worldupnews.com,1,1,1,1
xdomain.jp,1,1,1,1
xn--healthimpactnews-1f2la.com,1,1,1,1
xn--jean-ren-i1a.com,1,1,1,1
zetland.dk,1,1,1,1
zentrum-der-gesundheit.de,1,1,1,1
zemavek.sk,1,1,1,1
zeltaweb.com,1,1,1,1
ywnhmedia.com,1,1,1,1
yourlogicalfallacyis.com,1,1,1,1
you.you,1,1,1,1
you.gov,1,1,1,1
yelp.com,1,1,1,1
xn--rels-bpa.il,1,1,1,1
xn--lkemedelsverket-0kb.se,1,1,1,1
wonder.gov,1,1,1,1
webcrawler.com,1,1,1,1
we.tl,1,1,1,1
way-2-go.no,1,1,1,1
washingtonnewspost.com,1,1,1,1
wapt.com,1,1,1,1
want.it,1,1,1,1
wallstreetonparade.com,1,1,1,1
vy.no,1,1,1,1
webnode.co.uk,1,1,1,1
